element,chemical_potential
Ag,-2.712581
Al,-3.75006475
Ar,-0.0354206955
As,-4.665744
Au,-3.21988825
Ba,-1.90807245
Be,-3.76681885
Bi,-3.839562
B,-6.703706388888889
Br,-1.54205675
Ca,-1.926816425
Cd,-0.724903275
Cl,-1.82015025
Co,-6.810223
C,-9.233604166666668
Cr,-9.3758815
Cs,-0.8364018448275863
Cu,-3.7192825
F,-1.769338875
Fe,-7.6571555
Ga,-2.89597
Ge,-4.50885775
H,-3.3879045
He,4.97822745e-05
Hf,-9.923319
Hg,-0.17282978999999998
In,-2.5570738888888886
I,-1.3575255
Ir,-8.848303
K,-1.03649045
Kr,-0.02148864875
Li,-1.9060925555555555
Mg,-1.5025943
Mn,-8.715267413793104
Mo,-10.931177
N,-8.303732
Na,-1.3132241166666667
Nb,-10.211377
Ne,-0.0196695385
Ni,-5.403485
O,-4.600109375
Os,-11.2454425
Pb,-3.554159
Pd,-5.217943
P,-5.402005595238095
Pt,-6.08665275
Rb,-0.92829725
Re,-12.4275485
Ru,-9.2333425
Sb,-4.1343425
Sc,-6.2411205
Se,-3.49927203125
Si,-5.424459875
Sn,-3.83974175
S,-4.113081875
Sr,-1.6316705
Ta,-11.81059
Tc,-10.350787
Te,-3.1403235666666665
Ti,-7.825213
Tl,-2.21773975
V,-8.989771
W,-12.9470385
Xe,-0.013808652
Y,-6.420636
Zn,-1.09651785
Zr,-8.520954
Rh,-7.8975
